!!SCT,DO,,,,,,,
!!ID,STATE,DESC,STATES,TYPE,STATION,PORT,ITIME,BSET
SXS50432_SW_A_IOPENA,0,实训室50432刀闸A相状态,0,0,实训室,0,0,0
SXS50432_SW_B_IOPENB,0,实训室50432刀闸B相状态,0,0,实训室,0,0,0
SXS50432_SW_C_IOPENC,0,实训室50432刀闸C相状态,0,0,实训室,0,0,0
SXS504317_SW_HW,1,实训室504317地刀合位,1,0,实训室,0,0,0
SXS504317_SW_A_IOPENA,0,实训室504317地刀A相状态,0,0,实训室,0,0,0
SXS504317_SW_B_IOPENB,0,实训室504317地刀B相状态,0,0,实训室,0,0,0
SXS504317_SW_C_IOPENC,0,实训室504317地刀C相状态,0,0,实训室,0,0,0
SXS504327_SW_HW,1,实训室504327地刀合位,1,0,实训室,0,0,0
SXS504327_SW_A_IOPENA,0,实训室504327地刀A相状态,0,0,实训室,0,0,0
SXS504327_SW_B_IOPENB,0,实训室504327地刀B相状态,0,0,实训室,0,0,0
SXS504327_SW_C_IOPENC,0,实训室504327地刀C相状态,0,0,实训室,0,0,0
SXS504367_SW_HW,1,实训室504367地刀合位,1,0,实训室,0,0,0
SXS504367_SW_A_IOPENA,0,实训室504367地刀A相状态,0,0,实训室,0,0,0
SXS504367_SW_B_IOPENB,0,实训室504367地刀B相状态,0,0,实训室,0,0,0
SXS504367_SW_C_IOPENC,0,实训室504367地刀C相状态,0,0,实训室,0,0,0
SXS5051_BK_A_HWJ,1,实训室5051开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5051_BK_A_IOPENA,0,实训室5051开关A相状态,0,0,实训室,0,0,0
SXS5051_BK_B_HWJ,1,实训室5051开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5051_BK_B_IOPENB,0,实训室5051开关B相状态,0,0,实训室,0,0,0
SXS5051_BK_C_HWJ,1,实训室5051开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5051_BK_C_IOPENC,0,实训室5051开关C相状态,0,0,实训室,0,0,0
SXS50511_SW_HW,1,实训室50511刀闸合位,1,0,实训室,0,0,0
SXS50511_SW_A_IOPENA,0,实训室50511刀闸A相状态,0,0,实训室,0,0,0
SXS50511_SW_B_IOPENB,0,实训室50511刀闸B相状态,0,0,实训室,0,0,0
SXS50511_SW_C_IOPENC,0,实训室50511刀闸C相状态,0,0,实训室,0,0,0
SXS50512_SW_HW,1,实训室50512刀闸合位,1,0,实训室,0,0,0
SXS50512_SW_A_IOPENA,0,实训室50512刀闸A相状态,0,0,实训室,0,0,0
SXS50512_SW_B_IOPENB,0,实训室50512刀闸B相状态,0,0,实训室,0,0,0
SXS50512_SW_C_IOPENC,0,实训室50512刀闸C相状态,0,0,实训室,0,0,0
SXS505117_SW_HW,1,实训室505117地刀合位,1,0,实训室,0,0,0
SXS505117_SW_A_IOPENA,0,实训室505117地刀A相状态,0,0,实训室,0,0,0
SXS505117_SW_B_IOPENB,0,实训室505117地刀B相状态,0,0,实训室,0,0,0
SXS505117_SW_C_IOPENC,0,实训室505117地刀C相状态,0,0,实训室,0,0,0
SXS505127_SW_HW,1,实训室505127地刀合位,1,0,实训室,0,0,0
SXS505127_SW_A_IOPENA,0,实训室505127地刀A相状态,0,0,实训室,0,0,0
SXS505127_SW_B_IOPENB,0,实训室505127地刀B相状态,0,0,实训室,0,0,0
SXS505127_SW_C_IOPENC,0,实训室505127地刀C相状态,0,0,实训室,0,0,0
SXS505167_SW_HW,1,实训室505167地刀合位,1,0,实训室,0,0,0
SXS505167_SW_A_IOPENA,0,实训室505167地刀A相状态,0,0,实训室,0,0,0
SXS505167_SW_B_IOPENB,0,实训室505167地刀B相状态,0,0,实训室,0,0,0
SXS505167_SW_C_IOPENC,0,实训室505167地刀C相状态,0,0,实训室,0,0,0
SXS5052_BK_A_HWJ,1,实训室5052开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5052_BK_A_IOPENA,0,实训室5052开关A相状态,0,0,实训室,0,0,0
SXS5052_BK_B_HWJ,1,实训室5052开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5052_BK_B_IOPENB,0,实训室5052开关B相状态,0,0,实训室,0,0,0
SXS5052_BK_C_HWJ,1,实训室5052开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5052_BK_C_IOPENC,0,实训室5052开关C相状态,0,0,实训室,0,0,0
SXS50521_SW_HW,1,实训室50521刀闸合位,1,0,实训室,0,0,0
SXS50521_SW_A_IOPENA,0,实训室50521刀闸A相状态,0,0,实训室,0,0,0
SXS50521_SW_B_IOPENB,0,实训室50521刀闸B相状态,0,0,实训室,0,0,0
SXS50521_SW_C_IOPENC,0,实训室50521刀闸C相状态,0,0,实训室,0,0,0
SXS50522_SW_HW,1,实训室50522刀闸合位,1,0,实训室,0,0,0
SXS50522_SW_A_IOPENA,0,实训室50522刀闸A相状态,0,0,实训室,0,0,0
SXS50522_SW_B_IOPENB,0,实训室50522刀闸B相状态,0,0,实训室,0,0,0
SXS50522_SW_C_IOPENC,0,实训室50522刀闸C相状态,0,0,实训室,0,0,0
SXS505217_SW_HW,1,实训室505217地刀合位,1,0,实训室,0,0,0
SXS505217_SW_A_IOPENA,0,实训室505217地刀A相状态,0,0,实训室,0,0,0
SXS505217_SW_B_IOPENB,0,实训室505217地刀B相状态,0,0,实训室,0,0,0
SXS505217_SW_C_IOPENC,0,实训室505217地刀C相状态,0,0,实训室,0,0,0
SXS505227_SW_HW,1,实训室505227地刀合位,1,0,实训室,0,0,0
SXS505227_SW_A_IOPENA,0,实训室505227地刀A相状态,0,0,实训室,0,0,0
SXS505227_SW_B_IOPENB,0,实训室505227地刀B相状态,0,0,实训室,0,0,0
SXS505227_SW_C_IOPENC,0,实训室505227地刀C相状态,0,0,实训室,0,0,0
SXS5053_BK_A_HWJ,1,实训室5053开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5053_BK_A_IOPENA,0,实训室5053开关A相状态,0,0,实训室,0,0,0
SXS5053_BK_B_HWJ,1,实训室5053开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5053_BK_B_IOPENB,0,实训室5053开关B相状态,0,0,实训室,0,0,0
SXS5053_BK_C_HWJ,1,实训室5053开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5053_BK_C_IOPENC,0,实训室5053开关C相状态,0,0,实训室,0,0,0
SXS50531_SW_HW,1,实训室50531刀闸合位,1,0,实训室,0,0,0
SXS50531_SW_A_IOPENA,0,实训室50531刀闸A相状态,0,0,实训室,0,0,0
SXS50531_SW_B_IOPENB,0,实训室50531刀闸B相状态,0,0,实训室,0,0,0
SXS50531_SW_C_IOPENC,0,实训室50531刀闸C相状态,0,0,实训室,0,0,0
SXS50532_SW_HW,1,实训室50532刀闸合位,1,0,实训室,0,0,0
